,Sentence,Entity1,Entity2,relation
141,"North Korea 's vice foreign minister and chief negotiator , Kim Kye Gwan , said his country would not dismantle its nuclear program unless Washington gave North Korea political recognition and security guarantees , and he proposed a gradual approach to possible disarmament . ''",Washington,North,gave
142,"On a recent trip , my wife and I took a fascinating tour , '' The Jews of Shanghai , '' which traces the city 's interaction with Jews from the time of the Silk Route through 1949 , when most Jews left China following the Communist takeover .",Jews,China,left
143,"A3 Israel Leader Backs Sharon Plan Ehud Olmert , in his first major policy address since becoming Israel 's acting prime minister , said that he backed the creation of a Palestinian state , and that Israel would have to relinquish parts of the West Bank to maintain its Jewish majority .",Israel Leader,Sharon,Backs
144,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. ; and downtown Brooklyn , with a stop for gospel music on Sunday at 10 a.m. All meet in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
145,"Fresh from winning the fight for the European steel company Arcelor , Lakshmi Mittal visited India on Friday and said he planned to invest as much as $ 9 billion in a steel plant in an impoverished eastern area of the country .",Lakshmi Mittal,India,visited
146,"A similar crowd marched in Najaf , near the home of Iraq 's top Shiite religious leader , Grand Ayatollah Ali al-Sistani , who on Sunday accused Jordan of interfering in Iraq 's internal affairs .",Sunday,Jordan,accused
147,"The second round begins today , with the United States playing Japan and Mexico playing South Korea in Anaheim , Calif. , and Cuba playing Venezuela and Puerto Rico playing the Dominican Republic in San Juan , P.R. Giants ' Competitive Bunting On the left side of the plate batting right-handed , Noah Lowry ; on the right side , batting left-handed , Steve Finley .",United States,Japan,playing
148,"The election itself went off remarkably smoothly , with little trouble at any of the more than 1,000 polling stations or in East Jerusalem , where Israel allowed Palestinians to cast '' absentee ballots '' in post offices .",Israel,Palestinians,allowed
149,Mr. Packer also reports that Gen. Anthony C. Zinni -- who as the former commander in chief of United States Central Command had prepared a contingency plan for Iraq should Saddam Hussein ever fall -- learned that his plan had been dismissed at the Pentagon as '' too negative . '',Iraq,Saddam,should
150,"In this one-hour documentary , David E. Sanger and William J. Broad , reporters for The New York Times , and Julian Sher of the Canadian Broadcasting Corporation investigate Mr. Khan 's deadly legacy .",Broadcasting Corporation,Mr.,investigate
151,The topic is likely to be near the top of the agenda when President Hu Jintao of China meets President Bush in Washington on Thursday .,China,President,meets
152,And Italy may have solved its scoring troubles with Luca Toni and Alberto Gilardino joining Francesco Totti in the attack .,Alberto Gilardino,Francesco,joining
153,"In spite of the controversy , officials in Bingham County in late September gave Rulon Jones , a former professional football player , permission for a new 2,000-acre elk hunting preserve near Blackfoot .",September,Rulon,gave
154,"Two weeks ago China charged Ching Cheong , a reporter based in Hong Kong , with spying for Taiwan .",China,Ching,charged
155,"The businessman , Xie Chunren , who lives in Somerset County , N.J. , was arrested on May 31 in Sichuan Province in western China , a spokeswoman for the United States Embassy in Beijing said Thursday . ''",Beijing,Thursday,said
156,"When Prime Minister Wen Jiabao of China visited Pakistan last week , one of the many deals he signed was for the deepening of the port at Gwadar , whose Chinese-built facilities symbolize China 's return to an area that was , briefly , a playground for its navy .",China,Pakistan,visited
157,Mr. Llerena met Mr. Castro in Mexico in the mid-1950s as Mr. Castro was preparing for an invasion of Cuba to overthrow the military dictator Fulgencio Batista .,Mr. Llerena,Mr.,met
158,West Virginia defeated Louisville in triple overtime in Morgantown last year .,West Virginia,Louisville,defeated
159,"Miami 2005 record : 9-3 , 6-2 A.C.C. COACH : Larry Coker -LRB- 6th year , 53-9 -RRB- STARS : QB Kyle Wright , FS Brandon Meriweather and SS Kenny Phillips KEY GAME : Florida State , Sept. 4 IN SHORT -- A three-loss season and a blowout defeat in the Peach Bowl led Coker to fire six assistants .",Peach Bowl,Coker,led
160,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , Brooklyn , today , tomorrow and Sunday at 2 p.m. Meeting in front of the Marriott Hotel , Adams and Tillary Streets , Downtown Brooklyn ; $ 25 ; (718) 789-0430 .",TOUR SERVICE,Brooklyn,visits
161,"The song became a national obsession when fans chanted its verses during the 1950 World Cup in Rio de Janeiro , in which Brazil defeated Spain .",Brazil,Spain,defeated
162,"We wo n't negotiate about the Iranian nation 's natural nuclear rights , but we are prepared , within a defined , just framework and without any discrimination , to hold dialogue about common concerns , '' Foreign Minister Manouchehr Mottaki said Thursday in comments broadcast on Iran radio .",Manouchehr Mottaki,Thursday,said
163,The Post article yesterday said Mr. Finn met Ms. Hanna in July 2003 at the Human Rights Society of Iraq in Baghdad and later accompanied her on a tour of the police academy that had served as a prison under Mr. Hussein .,Mr. Finn,Ms.,met
164,"When the United States and the United Nations gave Ghana money to rehabilitate and restore Cape Coast castle , the government agency responsible for the castle repainted it white .",United Nations,Ghana,gave
165,"If you like church singing in New Jersey , the soprano RENEE FLEMING does Christmas favorites with the NEW JERSEY SYMPHONY at the NEW JERSEY PERFORMING ARTS CENTER in Newark at 3 p.m. ; (888) 466-5722 .",NEW JERSEY,ARTS,PERFORMING
166,"During a 70-kilometer -LRB- 43.5-mile -RRB- descent into Pau , Pereiro caught Cadel Evans of Australia , with Davitamon , who was leading the race .",Pereiro,Cadel,caught
167,"To that end , Grassroots enlisted Westchester County , which says it 's the first county government to endorse the program , and the result was a trade show at the Stone Barns in Pocantico Hills earlier this month .",Grassroots,Westchester,enlisted
168,The Yeshivah of Flatbush mourns the passing of beloved rabbi and pillar of the Brooklyn and New Jersey Sephardic communities Hacham Baruch Ben-Haim .,Jersey Sephardic,Hacham,communities
169,"Speaking first in Parliament and then in Kiev 's central square , Mr. Yushchenko declared Ukraine 's freedom and independence in thinly veiled remarks aimed at the departing president , Leonid D. Kuchma , and at Russia and its president , Vladimir V. Putin , who openly supported Mr. Yushchenko 's opponent . ''",Mr. Yushchenko,Ukraine,declared
170,"A Memorial Service celebrating Michael 's life will be held on Saturday , April 29 , 2006 , at the Episcopal Church of Bethesda - By - The - Sea in Palm Beach at 11:00 A.M. In lieu of flowers , memorial contributions may be made to the Michael Flagler Matthews Sports Education Fund for the Community Foundation of Palm Beach and Martin Counties , 319 Clematis Street , Suite 900 , West Palm Beach , Florida 33401 .",Memorial Service,Michael,celebrating
171,"In an article exploring the pope 's conduct in wartime , The Mirror quoted Elizabeth Lohner , an 84-year-old woman from his hometown in Bavaria , as saying that contrary to the pope 's contention that he had no choice but to enroll in the Hitler Youth , '' it was possible to resist . ''",Mirror,Elizabeth,quoted
172,"In Senegal , debate sprung from the decision of the Olympic track gold medalist Amadou Dia Ba to choose New York , while the mayor of Dakar favored Paris .",Dakar,Paris,favored
173,"This week , Australia paused to ponder the deeper meaning of swimmers Ian Thorpe and Grant Hackett endorsing different bids , with Thorpe favoring New York and Hackett picking London .",Hackett,London,picking
174,"After Atlanta pitcher Mike Hampton started Reyes with two balls in the third inning yesterday , Reyes swung at the next pitch and popped up to second base . ''",Mike Hampton,Reyes,started
175,"The Footsteps column on Sept. 17 about Morelia , Mexico , a town used as a setting for part of Wallace Stegner 's novel '' Angle of Repose , '' misstated the position in the Roman Catholic Church held by Don Vasco de Quiroga , the subject of a statue in the town .",Catholic Church,Don,held
176,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Monday at 2 p.m. , and downtown Brooklyn , with a stop for gospel music , on Sunday at 10 a.m. All tours meet in front of the Marriott hotel , Adams and Tillary Streets , downtown Brooklyn ; $ 25 ; (718) 789-0430 .",TOUR SERVICE,Brooklyn,visits
177,"United Nations officials in Africa and Defense Department officials in Washington said Friday that it was unclear to them whether Ethiopia had actually invaded Somalia , or if indeed the whole episode was a mix-up over uniforms .",Washington,Friday,said
178,The Changchun Municipal Intermediate People 's Court in Jilin Province in northeast China convicted Mr. Liu along with two former vice presidents of the Bank of China 's Hong Kong subsidiary and the general manager of Mr. Liu 's office .,China,Mr.,convicted
179,"The best-of-seven series with the Carolina Hurricanes begins Monday in Raleigh , N.C. Just the thought of four more victories has brought a happy hysteria to this sprawling prairie city .",Carolina Hurricanes,Monday,begins
180,"A Meeting of Leaders in Iran By The New York Times TEHRAN , Nov. 23 -- Iran said Thursday that Syria had not agreed to join a summit meeting in Tehran this weekend , but that the Iraqi president was due to arrive Saturday in an effort to find help bringing calm to his country . ''",Iran,Thursday,said
181,"France celebrated Armistice Day on Friday with a parade , but also deployed 3,000 police officers in Paris to watch for trouble on the third weekend since the country 's recent unrest began .",France,Armistice,celebrated
