,Sentence,Entity1,Entity2,relation
139,"In this one-hour documentary , David E. Sanger and William J. Broad , reporters for The New York Times , and Julian Sher of the Canadian Broadcasting Corporation investigate Mr. Khan 's deadly legacy .",Broadcasting Corporation,Mr.,investigate
140,The topic is likely to be near the top of the agenda when President Hu Jintao of China meets President Bush in Washington on Thursday .,China,President,meets
141,"A14 Familiar Germany Expected Experts in Germany doubt that the country 's foreign relations , including relations with the United States , will change much even with Angela Merkel on the verge of becoming chancellor of Germany in a coalition government with her rival Social Democrats .",Familiar Germany,Experts,Expected
142,And Italy may have solved its scoring troubles with Luca Toni and Alberto Gilardino joining Francesco Totti in the attack .,Alberto Gilardino,Francesco,joining
143,"A18 NEW YORK\/REGION B1-8 Wal-Mart Opponents Shift Focus to the Bronx Leaders of a campaign to keep Wal-Mart out of New York City have begun forming alliances with community groups and politicians in the Bronx , which has emerged as the latest battleground after the retailer was thwarted in Queens and Staten Island .",Mart Opponents,Focus,Shift
144,"In spite of the controversy , officials in Bingham County in late September gave Rulon Jones , a former professional football player , permission for a new 2,000-acre elk hunting preserve near Blackfoot .",September,Rulon,gave
145,"Two weeks ago China charged Ching Cheong , a reporter based in Hong Kong , with spying for Taiwan .",China,Ching,charged
146,"The businessman , Xie Chunren , who lives in Somerset County , N.J. , was arrested on May 31 in Sichuan Province in western China , a spokeswoman for the United States Embassy in Beijing said Thursday . ''",Beijing,Thursday,said
147,"When Prime Minister Wen Jiabao of China visited Pakistan last week , one of the many deals he signed was for the deepening of the port at Gwadar , whose Chinese-built facilities symbolize China 's return to an area that was , briefly , a playground for its navy .",China,Pakistan,visited
148,Mr. Llerena met Mr. Castro in Mexico in the mid-1950s as Mr. Castro was preparing for an invasion of Cuba to overthrow the military dictator Fulgencio Batista .,Mr. Llerena,Mr.,met
149,West Virginia defeated Louisville in triple overtime in Morgantown last year .,West Virginia,Louisville,defeated
150,"Miami 2005 record : 9-3 , 6-2 A.C.C. COACH : Larry Coker -LRB- 6th year , 53-9 -RRB- STARS : QB Kyle Wright , FS Brandon Meriweather and SS Kenny Phillips KEY GAME : Florida State , Sept. 4 IN SHORT -- A three-loss season and a blowout defeat in the Peach Bowl led Coker to fire six assistants .",Peach Bowl,Coker,led
151,"The song became a national obsession when fans chanted its verses during the 1950 World Cup in Rio de Janeiro , in which Brazil defeated Spain .",Brazil,Spain,defeated
152,"We wo n't negotiate about the Iranian nation 's natural nuclear rights , but we are prepared , within a defined , just framework and without any discrimination , to hold dialogue about common concerns , '' Foreign Minister Manouchehr Mottaki said Thursday in comments broadcast on Iran radio .",Manouchehr Mottaki,Thursday,said
153,"Islamists Losing Control Of Key Somali Towns With Ethiopian forces fully involved in the fighting , the Islamists who once held sway over much of Somalia are retreating to their stronghold in the capital , Mogadishu .",Islamists,Control,Losing
154,The Post article yesterday said Mr. Finn met Ms. Hanna in July 2003 at the Human Rights Society of Iraq in Baghdad and later accompanied her on a tour of the police academy that had served as a prison under Mr. Hussein .,Mr. Finn,Ms.,met
155,"When the United States and the United Nations gave Ghana money to rehabilitate and restore Cape Coast castle , the government agency responsible for the castle repainted it white .",United Nations,Ghana,gave
156,"If you like church singing in New Jersey , the soprano RENEE FLEMING does Christmas favorites with the NEW JERSEY SYMPHONY at the NEW JERSEY PERFORMING ARTS CENTER in Newark at 3 p.m. ; (888) 466-5722 .",NEW JERSEY,ARTS,PERFORMING
157,"During a 70-kilometer -LRB- 43.5-mile -RRB- descent into Pau , Pereiro caught Cadel Evans of Australia , with Davitamon , who was leading the race .",Pereiro,Cadel,caught
158,"Speaking first in Parliament and then in Kiev 's central square , Mr. Yushchenko declared Ukraine 's freedom and independence in thinly veiled remarks aimed at the departing president , Leonid D. Kuchma , and at Russia and its president , Vladimir V. Putin , who openly supported Mr. Yushchenko 's opponent . ''",Mr. Yushchenko,Ukraine,declared
159,"A Memorial Service celebrating Michael 's life will be held on Saturday , April 29 , 2006 , at the Episcopal Church of Bethesda - By - The - Sea in Palm Beach at 11:00 A.M. In lieu of flowers , memorial contributions may be made to the Michael Flagler Matthews Sports Education Fund for the Community Foundation of Palm Beach and Martin Counties , 319 Clematis Street , Suite 900 , West Palm Beach , Florida 33401 .",Memorial Service,Michael,celebrating
160,"In an article exploring the pope 's conduct in wartime , The Mirror quoted Elizabeth Lohner , an 84-year-old woman from his hometown in Bavaria , as saying that contrary to the pope 's contention that he had no choice but to enroll in the Hitler Youth , '' it was possible to resist . ''",Mirror,Elizabeth,quoted
161,"In Senegal , debate sprung from the decision of the Olympic track gold medalist Amadou Dia Ba to choose New York , while the mayor of Dakar favored Paris .",Dakar,Paris,favored
162,"This week , Australia paused to ponder the deeper meaning of swimmers Ian Thorpe and Grant Hackett endorsing different bids , with Thorpe favoring New York and Hackett picking London .",Thorpe,New,favoring
163,"After Atlanta pitcher Mike Hampton started Reyes with two balls in the third inning yesterday , Reyes swung at the next pitch and popped up to second base . ''",Mike Hampton,Reyes,started
164,"The Footsteps column on Sept. 17 about Morelia , Mexico , a town used as a setting for part of Wallace Stegner 's novel '' Angle of Repose , '' misstated the position in the Roman Catholic Church held by Don Vasco de Quiroga , the subject of a statue in the town .",Catholic Church,Don,held
165,"United Nations officials in Africa and Defense Department officials in Washington said Friday that it was unclear to them whether Ethiopia had actually invaded Somalia , or if indeed the whole episode was a mix-up over uniforms .",Washington,Friday,said
166,The Changchun Municipal Intermediate People 's Court in Jilin Province in northeast China convicted Mr. Liu along with two former vice presidents of the Bank of China 's Hong Kong subsidiary and the general manager of Mr. Liu 's office .,China,Mr.,convicted
167,"The best-of-seven series with the Carolina Hurricanes begins Monday in Raleigh , N.C. Just the thought of four more victories has brought a happy hysteria to this sprawling prairie city .",Carolina Hurricanes,Monday,begins
168,"A Meeting of Leaders in Iran By The New York Times TEHRAN , Nov. 23 -- Iran said Thursday that Syria had not agreed to join a summit meeting in Tehran this weekend , but that the Iraqi president was due to arrive Saturday in an effort to find help bringing calm to his country . ''",Iran,Thursday,said
169,"France celebrated Armistice Day on Friday with a parade , but also deployed 3,000 police officers in Paris to watch for trouble on the third weekend since the country 's recent unrest began .",France,Armistice,celebrated
170,"President Jacques Chirac of France criticized Iran 's action as a grave error , and the new German foreign minister , Frank-Walter Steinmeier , said Iran was sending '' very , very disastrous signals . ''",France,Iran,criticized
171,"Nigeria confirmed Monday that Africa 's first bird flu epidemic had spread to three more states and the capital , Abuja , but emphasized that there had been no human infections , Agence France-Presse reported .",Nigeria,Monday,confirmed
172,"He ticked off reasons voters should be worried : Connecticut leads New England in the loss of manufacturing jobs , traffic is a nightmare , children ca n't afford to live in the towns in which they grew up and retirees ca n't afford their property taxes . ''",Connecticut,New,leads
173,"While New Jersey may be best known as a setting for gritty television dramas , it has also been an inspiration and a haven for writers and poets since Whitman fled Brooklyn for Camden in 1873 .",Whitman,Brooklyn,fled
174,"This may be controversial , but recent examples in the United States make Russia look not all bad '' in terms of economic protectionism , said Peter Westin , chief economist at MDM Bank in Moscow .",United States,Russia,make
175,A12 Bolivia President Offers to Quit President Carlos Mesa of Bolivia offered Congress his resignation in the face of road-choking protests that he said had made the country nearly ungovernable .,Bolivia,Congress,offered
176,"Tom Glavine said Wright was better now than Chipper Jones , Glavine 's former teammate in Atlanta , was at the same age .",Tom Glavine,Wright,said
177,Defense Minister Sergei B. Ivanov has discussed the possibility of severing military-technological relations between Moscow and Kiev should Ukraine enter into NATO .,Kiev,Ukraine,should
178,"A 64-year-old nurse from Hubbard , Ohio , and a Conservative Jew , Ms. Gottesman spoke Thursday with her congressman , Tim Ryan , a Democrat .",Ms. Gottesman,Thursday,spoke
179,"In Beijing , Commerce Secretary Issues Warning on Patents Visiting Beijing , Secretary of Commerce Carlos M. Gutierrez took a tough line on intellectual property protection , warning that without solid enforcement of patents and trademark rights in China , trade tensions with the United States would increase .",Patents,Beijing,Visiting
